title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Hausfrau,,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult Fiction', 'Adult', 'Marriage', 'Romance', 'Novels', 'Mental Illness']","For readers of Claire Messud and Mary Gaitskill comes a striking debut novel of marriage, fidelity, sex, and morality, featuring a fascinating heroine who struggles to live a life with meaning. Hausfrauhaus·frau \haus-frau\ n 1: Origin: German.Housewife, homemaker. 2: A married woman. 3: A novel by Jill Alexander Essbaum Anna was a good wife, mostly. Anna Benz, an American in her late thirties, lives with her Swiss husband, Bruno—a banker—and their three young children in a postcard-perfect suburb of Zürich. Though she leads a comfortable, well-appointed life, Anna is falling apart inside. Adrift and increasingly unable to connect with the emotionally unavailable Bruno or even with her own thoughts and feelings, Anna tries to rouse herself with new experiences: German language classes, Jungian analysis, and a series of sexual affairs she enters with an ease that surprises even her. But Anna can't easily extract herself from these affairs. When she wants to end them, she finds it's difficult. Tensions escalate, and her lies start to spin out of control. Having crossed a moral threshold, Anna will discover where a woman goes when there is no going back. Intimate, intense, and written with the precision of a Swiss Army knife, Jill Alexander Essbaum's debut novel is an unforgettable story of marriage, fidelity, sex, morality, and most especially self. Navigating the lines between lust and love, guilt and shame, excuses and reasons, Anna Benz is an electrifying heroine whose passions and choices readers will debate with recognition and fury. Her story reveals, with honesty and great beauty, how we create ourselves and how we lose ourselves and the sometimes disastrous choices we make to find ourselves.",,,,March 17th 2015,[],Hardcover,,9780812997538,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419180448l/22725443.jpg,3.24,['PEN/Robert W. Bingham Prize Nominee for Longlist (2016)'],16.0,1.0,,,,76.0,14266.0,324,Random House,"['1835', '4104', '4873', '2488', '966']",,['Zurich (Switzerland)'],,['Jill Alexander Essbaum']
Hot Winter Nights,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Christmas', 'Holiday', 'Fiction', 'Adult', 'Chick Lit', 'Audiobook', 'Humor']","
  Who needs mistletoe?
Most people wouldn't think of a bad Santa case as the perfect Christmas gift. Then again, Molly Malone, office manager at Hunt Investigations, isn't most people, and she could really use a distraction from the fantasies she's been having since spending the night with her very secret crush, Lucas Knight. Nothing happened, not that Lucas knows that — but Molly just wants to enjoy being a little naughty for once...Whiskey and pain meds for almost-healed bullet wounds don't mix. Lucas needs to remember that next time he's shot on the job, which may be sooner rather than later if Molly's brother, Joe, finds out about them. Lucas can't believe he's drawing a blank on his (supposedly) passionate tryst with Molly, who's the hottest, smartest, strongest woman he's ever known. Strong enough to kick his butt if she discovers he's been assigned to babysit her on her first case. And hot enough to melt his cold heart this Christmas.",Heartbreaker Bay #6,,,September 25th 2018,[],ebook,,9780062741844,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519099139l/36220363._SY475_.jpg,4.04,[],97.0,1.0,,,,96.0,4270.0,384,Avon,"['1394', '1845', '858', '140', '33']",,[],,['Jill Shalvis']
Hate Me,,"['Romance', 'Young Adult', 'New Adult', 'High School', 'Contemporary', 'Love', 'Contemporary Romance', 'Chick Lit', 'Boarding School', 'Young Adult Romance']","This is an alternate cover edition for ASIN B00F4I8V68.From USA Today,  bestselling author Jillian Dodd comes the sixth book in the addictive Keatyn Chronicles series. Discover a breathless fairy-tale romance with swoon-worthy characters, suspense, and a glittering celebrity world. Fans of Gossip Girl, Pretty Little Liars, and reality TV will devour this pulse-pounding, sexy teen drama set against the backdrop of Hollywood and an East Coast boarding school. Keatyn was told if she went away, the stalker would forget about her, lose interest, and move on. But he hasn't. In fact, her being gone has only made things worse for her family and friends. So it's time to take matters into her own hands. It's time for her to start fighting back. Hey, Vincent. You ready for a little chaos?",The Keatyn Chronicles #6,,04/12/14,September 2017,[],Kindle Edition,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506006090l/36279579._SY475_.jpg,4.44,[],192.0,2.0,,,,98.0,5254.0,375,Amazon Digital Services,"['3123', '1462', '556', '84', '29']",,[],,['Jillian Dodd']
"Hard Up, Ardon #2",,[],"Malcolm is back... This time armed with girlfriend Sally by his side and best friend Dexter two steps behind – The nerd finally becomes a man !! WELL THAT'S UNTIL... Sally starts to get a little bored, Dexter comes up with a great new plan and Malcolm starts to lose his confidence...(And that's just Chapter 1) Can Malcolm finally tame liability Dexter? Will he pop another Viagra pill to please Sally? Does he hold onto his geek chic style, or lose it all for good?",,,,December 5th 2013,[],Paperback,,9781492888482,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386577628l/19307225.jpg,4.23,[],197.0,2.0,,,,98.0,40.0,324,Romacom Ltd,"['17', '16', '6', '1', '0']",,[],,['Jimmy Perrin']
Headhunters,,"['Crime', 'Thriller', 'Fiction', 'Mystery', 'Scandinavian Literature', 'Mystery Thriller', 'Suspense', 'Nordic Noir', 'Audiobook', 'Detective']","Roger Brown is a corporate headhunter, and he’s a master of his profession. But one career simply can’t support his luxurious lifestyle and his wife’s fledgling art gallery. At an art opening one night he meets Clas Greve, who is not only the perfect candidate for a major CEO job, but also, perhaps, the answer to his financial woes: Greve just so happens to mention that he owns a priceless Peter Paul Rubens painting that’s been lost since World War II—and Roger Brown just so happens to dabble in art theft. But when he breaks into Greve’s apartment, he finds more than just the painting. And Clas Greve may turn out to be the worst thing that’s ever happened to Roger Brown.",,,10/28/08,September 6th 2011,"['Roger Brown', 'Clas Greve', 'Diana Brown', 'Ove Kjikerud', 'Lotte Madsen']",Paperback,,9780307948687,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320551831l/11777020.jpg,3.8,['Bokhandlerprisen Nominee (2008)'],279.0,3.0,,,,91.0,32652.0,265,Vintage Crime/Black Lizard,"['8627', '12757', '8300', '2162', '806']",,"['Oslo (Norway)', 'Norway']",,"['Jo Nesbø', 'Don Bartlett']"
House On The Hill,,[],"Madison has been on a roll, lately. She was just named top attorney at her firm; things never looked better for her career. Best yet, Madison rarely thinks about her rocky past anymore. Life is good. But when her firm's CEO suddenly dies, Madison receives a surprise. Lars Eichmann has left his star attorney a very special gift. Madison is about to inherit, of all things.. a house.But she hasn't inherited just any house... Madison's new home, high atop a hill, is a beautiful, ornate, Victorian manse. The home is beautiful, but sometimes... strange. Immediately, odd things begin to happen. Things moving by themselves. Voices in the night. Soon, level headed Madison questions her own sanity.There's a ghost in that house on the hill, a ghost with an urgent need to talk. Can Madison suspect her doubt and fear? Will she survive the shock of what is to come? The woods surrounding the property hold a secret... A terrible secret that must come to light.Just when Madison feels close to her breaking point, one more terrible secret is revealed... One that will change her life forever.",,,,,[],,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421939467l/24641452.jpg,4.88,[],91.0,1.0,,,,100.0,8.0,169,,"['7', '1', '0', '0', '0']",,[],,['Jolynne Valerie']
Hitler,,"['History', 'Biography', 'Nonfiction', 'World War II', 'Germany', 'Politics', 'War', 'Biography Memoir', 'German Literature', 'Nazi Party']","A bestseller in its original German edition and subsequently translated into more than a dozen languages, Joachim Fest's Hitler has become a classic portrait of a man, a nation, and an era. Fest tells and interprets the extraordinary story of a man's and a nation's rise from impotence to absolute power, as Germany and Hitler, from shared premises, entered into their covenant. He shows Hitler exploiting the resentments of the shaken, post-World War I social order and seeing through all that was hollow behind the appearance of power, at home and abroad. Fest reveals the singularly penetrating politician, hypnotizing Germans and outsiders alike with the scope of his projects and the theatricality of their presentation. Fest also, perhaps most importantly, brilliantly uncovers the destructive personality who aimed at and achieved devastation on an unprecedented scale. As history and as biography, this is a towering achievement, a compelling story told in a way only a German could tell it, ""dispassionately, but from the inside."" (Time)",,,10/30/73,October 28th 2002,['Adolf Hitler'],Paperback,,9780156027540,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427308750l/355434.jpg,4.21,[],95.0,1.0,,,,95.0,2065.0,864,Mariner Books,"['971', '696', '303', '57', '38']",,[],,['Joachim Fest']
Hope Was Here,,"['Young Adult', 'Realistic Fiction', 'Fiction', 'Contemporary', 'Middle Grade', 'Teen', 'Coming Of Age', 'Family', 'School', 'Childrens']","When Hope and her aunt move to small-town Wisconsin to take over the local diner, Hope's not sure what to expect. But what they find is that the owner, G.T., isn't quite ready to give up yet - in fact, he's decided to run for mayor against a corrupt candidate. And as Hope starts to make her place at the diner, she also finds herself caught up in G.T.'s campaign - particularly his visions for the future. After all, as G.T. points out, everyone can use a little hope to help get through the tough times... even Hope herself.Filled with heart, charm, and good old-fashioned fun, this is Joan Bauer at her best.",,,09/11/00,June 2nd 2005,[],Paperback,,9780142404249,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211597l/522471.jpg,4.01,"['Newbery Medal Nominee (2001)', 'Rhode Island Teen Book Award Nominee (2002)', ""Dorothy Canfield Fisher Children's Book Award Nominee (2002)"", ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (2003)"", 'Michigan Library Association Thumbs Up! Award (2001)', 'California Young Readers Medal Nominee for Young Adult (2003)']",363.0,4.0,,,,94.0,19419.0,186,Puffin Books,"['7012', '7094', '4087', '922', '304']",,[],,['Joan Bauer']
"Haiti, History, and the Gods",,History,"""By viewing Revolutionary-era Haiti through the lenses of gender and sexuality, Joan Dayan breathes life into an important slice of history.""—Karen McCarthy Brown, author of Mama Lola",,,,1998.0,,,0520213688,9780520213685,,http://books.google.com/books/content?id=-aQwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.95,,,,,,,,,362.0,,,37.0,,,['Joan Dayan']
Hooligan's Alley: Inspired by the Compelling True Story of a Hell's Kitchen Immigrant,,[],"Fueled with in-depth research and personal recollections, ""Hooligan's Alley"" presents a historic novel embracing generations of early European immigrants and their amazing struggles.In the style of a novel, author Joanna Kelly tells the true story of Wilhelmina Huebner Metting, an orphaned farm girl who uprooted her life in Germany to search for an aunt living far away in America. Her quest took her to New York's infamous Hell's Kitchen, an area of overcrowded slums, lumberyards, slaughterhouses, factories, and immigrants troubled by poverty and violence. There, seventeen-year-old Wilhelmina started a seamstress business and kept cows on a vacant city lot.Wilhelmina was, above all things, a passionate social reformer. She encountered American society first during the Civil War, a time of great social unrest. Her involvement with the Colored Orphan Asylum put her in the center of the New York City Draft Riots, the largest uprising in the history of the United States.Wilhelmina's story inspired Kelly, who fleshed out the few hard facts she could find with a lovingly researched fictional visit to a long-lost time and place in America's history.""Joanna Kelly...draws special strength from her Quaker faith as well as her insatiable thirst for history in writing her first novel, ""Hooligan's Alley."" She is a gifted writer who explores her love of music, wildflowers, and passion for family in weaving this remarkable series of adventures that will set your heart to racing, while stretching your own recollections and imagination. ""Hooligan's Alley"" is a must-read for New Yorkers and history lovers, and everyone who cares about origins and family.""-E. Barrie Kavasch best-selling author of ""The Medicine Wheel Garden""",,,,February 28th 2013,[],Paperback,,9781462058259,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362955706l/17553977.jpg,4.64,[],100.0,1.0,,,,100.0,11.0,344,iUniverse,"['8', '2', '1', '0', '0']",,[],,['Joanna Kelly']
